review_id,brand,industry,review_text,rating,review_date,source,price_level,feature_category,sentiment_label,sentiment_score,aspect,region,market_share_est,competitor_type
28,ocean bites,restaurant,great ambience and quick service. loved the dinner experience.,4,11/17/2025,yelp,3,delivery,positive,0.84,support,sri lanka - kandy,29.82,enterprise
29,nextgen institute,academic,classes often cancelled without notice.,2,4/30/2024,appstore,3,product,negative,-0.4,price,sri lanka - kandy,11.69,sme
30,brightpath college,academic,teachers explain concepts clearly and provide good support.,4,2/21/2024,instagram,1,service,positive,0.58,delivery,sri lanka - colombo,33.87,sme
31,urban curry,restaurant,"average taste, reasonable price.",3,2/28/2025,appstore,1,service,neutral,0.22,experience,sri lanka - colombo,28.69,enterprise
32,nextgen institute,academic,facilities are average.,4,3/5/2024,google,1,delivery,neutral,0.01,support,sri lanka - kandy,29.84,enterprise
33,fooddash,food delivery,delivery was fast and food arrived hot.,4,3/25/2024,facebook,1,product,positive,0.61,delivery,india - bangalore,32.65,startup
34,grand tandoori,restaurant,overpriced for the portion size.,2,11/5/2024,appstore,1,delivery,negative,-0.91,service,sri lanka - kandy,5.55,sme
35,ocean bites,restaurant,great ambience and quick service. loved the dinner experience.,5,10/27/2025,yelp,3,product,positive,0.53,delivery,sri lanka - kandy,26.73,enterprise
36,spice garden,restaurant,food arrived cold and the service was slow.,2,1/20/2024,yelp,2,delivery,negative,-0.54,delivery,sri lanka - colombo,5.97,sme
37,urban curry,restaurant,"average taste, reasonable price.",3,11/25/2025,yelp,1,delivery,neutral,0.27,service,sri lanka - kandy,32.35,enterprise
38,grand tandoori,restaurant,great ambience and quick service. loved the dinner experience.,5,5/4/2024,instagram,2,service,positive,0.83,experience,india - chennai,22.82,enterprise
39,grand tandoori,restaurant,overpriced for the portion size.,2,1/30/2025,appstore,2,support,negative,-0.44,delivery,sri lanka - kandy,15.77,sme
40,nextgen institute,academic,teachers explain concepts clearly and provide good support.,5,5/21/2025,appstore,1,service,positive,0.61,experience,sri lanka - colombo,6.74,startup
41,grand tandoori,restaurant,"average taste, reasonable price.",4,6/1/2024,instagram,2,delivery,neutral,0.07,experience,india - bangalore,38.59,enterprise
42,stylehub,clothing,good quality fabric and perfect fit.,5,2/25/2024,google,2,product,positive,0.94,delivery,india - bangalore,28.74,startup
43,greenbasket,supermarket,store is okay but sometimes crowded.,4,7/28/2024,instagram,3,delivery,neutral,0.27,experience,india - chennai,20.58,enterprise
44,brightpath college,academic,poor communication from administration.,2,10/20/2024,google,2,service,negative,-0.51,service,india - bangalore,38.56,sme
45,mealgo,food delivery,reliable service and accurate orders.,5,10/9/2025,yelp,2,delivery,positive,0.82,delivery,sri lanka - kandy,26.4,enterprise
46,grand tandoori,restaurant,"clean place and tasty meals, will visit again.",5,1/27/2024,instagram,3,delivery,positive,0.6,experience,india - chennai,6.92,startup
47,urban threads,clothing,sizes were inaccurate and returns were difficult.,1,9/5/2024,appstore,3,delivery,negative,-0.52,service,sri lanka - colombo,39.56,sme
48,grand tandoori,restaurant,authentic flavors and generous portions.,5,9/20/2025,instagram,3,product,positive,0.96,support,india - chennai,22.24,startup
49,dailyneeds,supermarket,some items were expired on the shelf.,1,5/9/2024,yelp,1,service,negative,-0.77,experience,india - chennai,34.43,sme
50,fooddash,food delivery,reliable service and accurate orders.,4,5/21/2024,yelp,3,support,positive,0.97,experience,india - bangalore,30.52,enterprise
51,futurelearn center,academic,teachers explain concepts clearly and provide good support.,4,8/7/2025,appstore,1,product,positive,0.98,service,sri lanka - kandy,37.16,startup
52,urban threads,clothing,trendy designs and affordable prices.,5,9/17/2025,instagram,3,product,positive,0.84,quality,india - bangalore,16.83,enterprise
53,brightpath college,academic,outdated materials and unhelpful staff.,2,2/8/2025,instagram,2,support,negative,-0.61,price,sri lanka - kandy,37.95,sme
54,futurelearn center,academic,teachers explain concepts clearly and provide good support.,5,1/9/2025,appstore,1,delivery,positive,0.9,delivery,india - chennai,24.47,startup
55,futurelearn center,academic,outdated materials and unhelpful staff.,2,8/5/2025,appstore,3,delivery,negative,-0.61,service,sri lanka - kandy,11.4,startup
56,modaline,clothing,overpriced for low quality material.,2,5/4/2025,appstore,3,support,negative,-0.97,price,india - bangalore,25.72,startup
57,modaline,clothing,overpriced for low quality material.,1,10/29/2025,facebook,3,support,negative,-0.59,support,india - chennai,11.58,startup
58,speedybite,food delivery,app works fine but nothing impressive.,4,2/21/2024,yelp,3,support,neutral,-0.07,quality,sri lanka - colombo,34.42,startup
59,freshmart,supermarket,quick billing and helpful staff.,5,2/15/2025,google,1,product,positive,0.77,support,sri lanka - colombo,7.53,startup
60,mealgo,food delivery,reliable service and accurate orders.,4,8/15/2024,yelp,2,product,positive,0.75,delivery,sri lanka - colombo,29.7,sme
61,dailyneeds,supermarket,quick billing and helpful staff.,5,6/27/2024,yelp,2,support,positive,0.73,delivery,sri lanka - colombo,32.14,startup
62,grand tandoori,restaurant,staff were rude and the place was not clean.,2,2/28/2025,yelp,1,service,negative,-0.42,quality,india - chennai,23.55,startup
63,stylehub,clothing,good quality fabric and perfect fit.,5,11/19/2024,appstore,1,support,positive,0.78,delivery,india - chennai,6.33,enterprise
64,grand tandoori,restaurant,food was okay but nothing special.,4,10/9/2024,appstore,3,service,neutral,0.08,support,sri lanka - colombo,36.39,enterprise
65,urban threads,clothing,clothes feel comfortable and durable.,4,4/11/2025,appstore,3,product,positive,0.51,delivery,sri lanka - colombo,34.37,sme
66,futurelearn center,academic,classes often cancelled without notice.,1,5/15/2024,google,2,product,negative,-0.72,quality,india - bangalore,30.09,startup
67,greenbasket,supermarket,fresh vegetables and well organized shelves.,4,3/7/2025,instagram,1,product,positive,0.93,delivery,sri lanka - kandy,32.69,sme
68,stylehub,clothing,overpriced for low quality material.,1,9/23/2024,appstore,2,service,negative,-0.59,quality,india - chennai,28.57,sme
69,grand tandoori,restaurant,"clean place and tasty meals, will visit again.",4,5/11/2024,facebook,1,service,positive,0.81,quality,sri lanka - kandy,13.97,startup
70,ocean bites,restaurant,staff were rude and the place was not clean.,2,10/9/2025,appstore,2,support,negative,-0.93,price,india - bangalore,32.51,startup
71,urban curry,restaurant,great ambience and quick service. loved the dinner experience.,5,1/2/2024,instagram,1,product,positive,0.99,support,sri lanka - kandy,5.16,enterprise
72,urban threads,clothing,trendy designs and affordable prices.,5,6/3/2025,yelp,1,service,positive,0.73,service,sri lanka - colombo,36.26,sme
73,trendwear,clothing,trendy designs and affordable prices.,4,2/4/2025,facebook,1,service,positive,0.96,support,india - bangalore,9.54,enterprise
74,fooddash,food delivery,easy app to use and good tracking system.,5,9/19/2025,google,3,delivery,positive,0.67,delivery,india - bangalore,21.16,sme
75,brightpath college,academic,great learning environment and useful course materials.,5,6/22/2025,instagram,1,support,positive,0.8,delivery,sri lanka - kandy,16.23,startup
76,spice garden,restaurant,great ambience and quick service. loved the dinner experience.,5,10/3/2024,appstore,3,delivery,positive,0.72,delivery,india - chennai,19.28,sme
77,trendwear,clothing,quality is acceptable for the price.,3,2/1/2025,instagram,3,support,neutral,-0.08,service,india - bangalore,7.18,sme
78,urban curry,restaurant,"clean place and tasty meals, will visit again.",4,9/26/2025,yelp,1,delivery,positive,0.89,support,sri lanka - kandy,10.17,enterprise
79,greenbasket,supermarket,fresh vegetables and well organized shelves.,4,8/21/2025,appstore,3,service,positive,0.87,price,sri lanka - kandy,5.26,sme
80,citygrocer,supermarket,long queues at checkout counters.,1,6/28/2024,appstore,1,product,negative,-0.87,service,sri lanka - colombo,29.78,enterprise
81,dailyneeds,supermarket,staff not responsive when asking for help.,2,5/15/2025,appstore,2,service,negative,-0.62,support,sri lanka - colombo,14.14,enterprise
82,citygrocer,supermarket,store is okay but sometimes crowded.,3,3/29/2024,instagram,3,product,neutral,0.22,price,india - chennai,26.67,sme
83,modaline,clothing,good quality fabric and perfect fit.,4,2/15/2025,yelp,2,delivery,positive,0.7,service,sri lanka - colombo,6.96,startup
84,futurelearn center,academic,flexible schedules and practical lessons.,5,6/6/2024,appstore,3,service,positive,0.72,delivery,india - chennai,29.99,sme
85,brightpath college,academic,facilities are average.,3,10/4/2024,google,3,support,neutral,-0.05,service,sri lanka - colombo,19.92,enterprise
86,trendwear,clothing,designs are decent but limited options.,4,11/30/2024,google,3,support,neutral,0.17,service,sri lanka - colombo,19.09,startup
87,dailyneeds,supermarket,long queues at checkout counters.,1,3/1/2025,google,1,product,negative,-0.99,price,india - chennai,20.62,startup
88,modaline,clothing,designs are decent but limited options.,3,8/5/2024,appstore,2,service,neutral,0.07,experience,sri lanka - colombo,9.24,startup
89,nextgen institute,academic,great learning environment and useful course materials.,4,1/24/2025,yelp,3,delivery,positive,0.91,service,sri lanka - colombo,30,enterprise
90,grand tandoori,restaurant,"average taste, reasonable price.",4,7/13/2025,facebook,3,delivery,neutral,0.05,support,india - bangalore,39.21,enterprise
91,dailyneeds,supermarket,quick billing and helpful staff.,4,8/19/2025,appstore,3,delivery,positive,0.99,delivery,india - chennai,24.02,sme
92,urban curry,restaurant,authentic flavors and generous portions.,4,7/9/2024,yelp,1,service,positive,0.78,experience,india - bangalore,20.51,sme
93,modaline,clothing,trendy designs and affordable prices.,4,10/11/2024,facebook,2,product,positive,0.61,delivery,india - bangalore,16.26,startup
94,stylehub,clothing,clothes feel comfortable and durable.,5,10/10/2024,instagram,3,product,positive,0.93,quality,sri lanka - kandy,36.29,startup
95,ocean bites,restaurant,overpriced for the portion size.,1,11/24/2025,appstore,3,support,negative,-0.77,experience,sri lanka - colombo,30.61,sme
96,stylehub,clothing,trendy designs and affordable prices.,4,5/5/2025,google,1,service,positive,0.54,support,india - bangalore,31.7,sme
97,urban threads,clothing,clothes feel comfortable and durable.,5,9/21/2025,appstore,3,product,positive,0.53,quality,sri lanka - colombo,12.16,startup
98,fooddash,food delivery,easy app to use and good tracking system.,4,8/23/2025,yelp,1,service,positive,0.84,quality,sri lanka - colombo,6.14,sme
99,speedybite,food delivery,reliable service and accurate orders.,4,8/6/2025,google,1,service,positive,0.96,quality,sri lanka - kandy,10.93,sme
100,brightpath college,academic,classes often cancelled without notice.,2,3/12/2025,google,3,service,negative,-0.61,quality,india - bangalore,28.58,startup
101,urban threads,clothing,sizes were inaccurate and returns were difficult.,2,6/1/2025,instagram,1,delivery,negative,-0.67,quality,india - bangalore,23.3,enterprise
102,fooddash,food delivery,cold food and poor packaging.,2,12/31/2024,instagram,1,service,negative,-1,experience,india - chennai,24.52,startup
103,skillbridge academy,academic,flexible schedules and practical lessons.,5,4/23/2024,google,3,delivery,positive,0.77,experience,sri lanka - kandy,17.58,enterprise
104,futurelearn center,academic,flexible schedules and practical lessons.,4,1/8/2024,yelp,3,service,positive,0.86,support,sri lanka - colombo,13.29,startup
105,greenbasket,supermarket,store is okay but sometimes crowded.,3,12/9/2024,yelp,2,product,neutral,0.16,experience,sri lanka - kandy,13.82,enterprise
106,urban threads,clothing,trendy designs and affordable prices.,5,2/6/2024,google,3,support,positive,0.88,experience,india - chennai,28.2,startup
107,brightpath college,academic,outdated materials and unhelpful staff.,1,4/1/2024,instagram,1,product,negative,-0.92,quality,india - bangalore,10.66,enterprise
108,mealgo,food delivery,order was delayed and items missing.,1,11/20/2024,instagram,3,product,negative,-0.67,experience,sri lanka - colombo,5.19,startup
109,urban threads,clothing,good quality fabric and perfect fit.,5,12/31/2024,appstore,3,delivery,positive,0.86,price,sri lanka - colombo,13.63,enterprise
110,urban curry,restaurant,authentic flavors and generous portions.,4,2/25/2024,appstore,3,product,positive,0.64,experience,sri lanka - kandy,33.26,sme
111,grand tandoori,restaurant,overpriced for the portion size.,1,10/1/2024,appstore,3,support,negative,-0.51,delivery,sri lanka - colombo,32.85,sme
112,mealgo,food delivery,app crashed while placing order.,1,6/10/2024,google,2,delivery,negative,-0.87,quality,sri lanka - colombo,25.06,startup
113,stylehub,clothing,trendy designs and affordable prices.,4,11/21/2025,facebook,1,product,positive,0.69,experience,sri lanka - colombo,35.37,startup
114,grand tandoori,restaurant,"clean place and tasty meals, will visit again.",5,4/21/2024,facebook,1,support,positive,0.66,quality,india - bangalore,6.13,startup
115,skillbridge academy,academic,poor communication from administration.,2,5/22/2024,facebook,2,service,negative,-0.67,quality,sri lanka - kandy,8.41,enterprise
116,urban curry,restaurant,overpriced for the portion size.,2,7/25/2025,google,3,product,negative,-0.49,price,sri lanka - colombo,16.03,sme
117,trendwear,clothing,trendy designs and affordable prices.,4,7/21/2025,appstore,1,delivery,positive,0.97,price,sri lanka - kandy,20.01,sme
118,citygrocer,supermarket,quick billing and helpful staff.,4,3/27/2025,appstore,3,product,positive,0.65,price,india - chennai,16.44,sme
119,grand tandoori,restaurant,authentic flavors and generous portions.,4,3/5/2024,yelp,3,product,positive,0.6,quality,sri lanka - kandy,12.49,sme
120,futurelearn center,academic,great learning environment and useful course materials.,4,5/16/2024,appstore,1,service,positive,0.98,price,sri lanka - kandy,20.99,enterprise
121,trendwear,clothing,trendy designs and affordable prices.,4,7/19/2024,google,2,delivery,positive,0.94,service,sri lanka - kandy,10.22,sme
122,skillbridge academy,academic,course content is fine but could be updated.,4,4/16/2024,facebook,2,delivery,neutral,0.19,delivery,sri lanka - kandy,12.07,startup
123,fooddash,food delivery,cold food and poor packaging.,1,3/26/2025,facebook,3,product,negative,-0.48,experience,sri lanka - kandy,38.24,sme
124,citygrocer,supermarket,fresh vegetables and well organized shelves.,5,7/12/2025,instagram,1,product,positive,0.82,service,sri lanka - kandy,11.8,startup
125,nextgen institute,academic,great learning environment and useful course materials.,5,10/17/2024,facebook,3,support,positive,0.7,price,sri lanka - colombo,36.06,enterprise
126,nextgen institute,academic,great learning environment and useful course materials.,5,3/15/2024,google,2,delivery,positive,0.67,service,india - bangalore,16.4,enterprise
127,mealgo,food delivery,easy app to use and good tracking system.,4,9/17/2025,yelp,3,service,positive,0.65,delivery,sri lanka - colombo,5.79,enterprise
128,speedybite,food delivery,delivery was fast and food arrived hot.,5,4/25/2024,yelp,2,service,positive,0.74,experience,sri lanka - colombo,18.16,startup
129,stylehub,clothing,overpriced for low quality material.,2,12/2/2024,yelp,2,service,negative,-0.82,support,sri lanka - colombo,33.33,enterprise
130,modaline,clothing,good quality fabric and perfect fit.,4,11/12/2024,facebook,1,service,positive,0.56,service,india - chennai,35.11,enterprise
131,stylehub,clothing,good quality fabric and perfect fit.,4,5/16/2024,facebook,3,support,positive,0.76,quality,india - chennai,29.62,sme
132,citygrocer,supermarket,staff not responsive when asking for help.,2,7/24/2024,instagram,3,product,negative,-0.73,price,sri lanka - kandy,10.7,enterprise
133,quickeats,food delivery,easy app to use and good tracking system.,5,1/7/2025,facebook,3,service,positive,0.67,quality,india - chennai,37.76,startup
134,trendwear,clothing,clothes feel comfortable and durable.,4,1/1/2024,google,2,delivery,positive,0.88,experience,india - chennai,21.1,sme
135,brightpath college,academic,course content is fine but could be updated.,4,3/15/2024,google,3,delivery,neutral,0.19,quality,india - chennai,19.47,enterprise
136,urban threads,clothing,trendy designs and affordable prices.,4,8/14/2024,facebook,2,support,positive,0.74,support,sri lanka - colombo,28.83,sme
137,modaline,clothing,sizes were inaccurate and returns were difficult.,2,5/7/2025,google,2,product,negative,-0.44,delivery,india - bangalore,34.88,sme
138,greenbasket,supermarket,wide variety of products at good prices.,4,3/23/2025,instagram,2,product,positive,0.65,delivery,sri lanka - kandy,28.26,sme
139,stylehub,clothing,sizes were inaccurate and returns were difficult.,2,2/7/2024,yelp,2,service,negative,-0.69,support,sri lanka - colombo,32.3,startup
140,futurelearn center,academic,poor communication from administration.,2,5/5/2025,appstore,2,delivery,negative,-0.51,service,india - bangalore,11.8,startup
141,grand tandoori,restaurant,overpriced for the portion size.,1,1/3/2024,yelp,3,delivery,negative,-0.95,experience,sri lanka - colombo,34.54,sme
142,ocean bites,restaurant,authentic flavors and generous portions.,5,9/23/2025,appstore,1,product,positive,0.95,service,sri lanka - kandy,31.4,sme
143,speedybite,food delivery,easy app to use and good tracking system.,4,1/3/2024,instagram,3,service,positive,1,experience,india - chennai,24.61,sme
144,skillbridge academy,academic,teachers explain concepts clearly and provide good support.,5,1/6/2024,yelp,2,product,positive,0.97,price,india - bangalore,20.95,startup
145,urban threads,clothing,clothes feel comfortable and durable.,5,2/23/2024,yelp,1,service,positive,0.76,service,sri lanka - colombo,13.29,startup
146,trendwear,clothing,sizes were inaccurate and returns were difficult.,2,11/12/2024,appstore,2,product,negative,-0.7,support,india - bangalore,10.59,enterprise
147,urban threads,clothing,sizes were inaccurate and returns were difficult.,2,1/12/2024,instagram,2,support,negative,-0.48,support,sri lanka - kandy,21.17,sme
148,stylehub,clothing,clothes feel comfortable and durable.,4,1/5/2025,instagram,3,service,positive,0.78,price,india - chennai,22.1,enterprise
149,spice garden,restaurant,"average taste, reasonable price.",3,3/7/2024,appstore,2,product,neutral,0.18,service,india - chennai,22.32,enterprise
150,skillbridge academy,academic,classes often cancelled without notice.,2,3/28/2025,appstore,1,delivery,negative,-0.91,experience,sri lanka - colombo,24.75,enterprise
151,mealgo,food delivery,cold food and poor packaging.,2,11/5/2024,yelp,2,support,negative,-0.73,quality,sri lanka - kandy,22.72,enterprise
152,spice garden,restaurant,"clean place and tasty meals, will visit again.",4,11/22/2024,facebook,2,product,positive,0.83,delivery,india - chennai,11.55,startup
153,skillbridge academy,academic,great learning environment and useful course materials.,5,5/31/2025,google,3,product,positive,0.82,price,india - chennai,39.25,sme
154,urban curry,restaurant,authentic flavors and generous portions.,5,3/9/2024,yelp,3,support,positive,0.92,support,india - chennai,23.21,sme
155,urban curry,restaurant,staff were rude and the place was not clean.,2,7/28/2024,instagram,1,support,negative,-0.54,service,sri lanka - kandy,18.6,sme
156,nextgen institute,academic,outdated materials and unhelpful staff.,2,1/17/2025,yelp,2,support,negative,-0.41,quality,sri lanka - colombo,11.4,startup
157,brightpath college,academic,course content is fine but could be updated.,3,8/2/2025,facebook,3,service,neutral,0.12,delivery,sri lanka - kandy,36.02,enterprise
158,modaline,clothing,trendy designs and affordable prices.,5,8/4/2025,instagram,1,support,positive,0.99,delivery,sri lanka - colombo,13.73,startup
159,freshmart,supermarket,long queues at checkout counters.,1,4/13/2024,appstore,1,support,negative,-0.74,quality,sri lanka - colombo,17.29,sme
160,spice garden,restaurant,staff were rude and the place was not clean.,1,9/15/2024,appstore,2,delivery,negative,-0.79,experience,india - chennai,29.31,enterprise
161,fooddash,food delivery,cold food and poor packaging.,2,10/18/2024,google,1,delivery,negative,-0.45,price,india - bangalore,8.61,sme
162,futurelearn center,academic,classes often cancelled without notice.,2,10/2/2024,appstore,1,product,negative,-0.55,support,india - chennai,35.45,sme
163,nextgen institute,academic,flexible schedules and practical lessons.,4,7/11/2024,google,2,delivery,positive,0.75,delivery,sri lanka - colombo,35.01,enterprise
164,spice garden,restaurant,overpriced for the portion size.,1,1/4/2024,google,3,support,negative,-0.61,experience,india - bangalore,29.2,sme
165,futurelearn center,academic,flexible schedules and practical lessons.,4,1/23/2024,appstore,3,delivery,positive,0.55,service,india - chennai,24.18,enterprise
166,speedybite,food delivery,app crashed while placing order.,2,11/12/2025,google,3,delivery,negative,-0.89,experience,sri lanka - kandy,39.64,startup
167,urban threads,clothing,fabric quality is poor and shrank after washing.,1,3/14/2025,google,1,delivery,negative,-0.9,service,india - chennai,32.32,startup
168,modaline,clothing,quality is acceptable for the price.,3,3/2/2024,appstore,1,product,neutral,0.1,delivery,india - chennai,11.24,enterprise
169,quickeats,food delivery,order was delayed and items missing.,1,7/22/2025,google,3,delivery,negative,-0.8,service,sri lanka - kandy,10.71,enterprise
170,fooddash,food delivery,reliable service and accurate orders.,4,9/2/2025,google,3,delivery,positive,0.75,service,india - bangalore,13.52,sme
171,grand tandoori,restaurant,staff were rude and the place was not clean.,2,9/24/2024,google,2,delivery,negative,-0.56,quality,sri lanka - kandy,38.22,enterprise
172,speedybite,food delivery,reliable service and accurate orders.,4,9/25/2024,yelp,3,delivery,positive,0.65,delivery,india - bangalore,12.48,startup
173,modaline,clothing,designs are decent but limited options.,3,11/27/2025,yelp,2,product,neutral,0.22,delivery,india - chennai,11.22,startup
174,trendwear,clothing,sizes were inaccurate and returns were difficult.,1,8/26/2025,appstore,1,support,negative,-0.52,delivery,sri lanka - colombo,27.97,sme
175,speedybite,food delivery,app crashed while placing order.,1,11/28/2024,appstore,2,support,negative,-0.84,support,sri lanka - colombo,34.42,startup
176,grand tandoori,restaurant,"average taste, reasonable price.",4,1/13/2024,instagram,2,service,neutral,0.11,experience,india - bangalore,25.83,enterprise
177,quickeats,food delivery,easy app to use and good tracking system.,4,3/4/2025,facebook,1,service,positive,0.81,quality,sri lanka - kandy,19.44,enterprise
178,futurelearn center,academic,classes often cancelled without notice.,1,2/21/2025,yelp,3,product,negative,-0.6,quality,india - chennai,19.22,enterprise
179,fooddash,food delivery,delivery time was acceptable.,3,3/21/2024,appstore,3,delivery,neutral,0.02,delivery,sri lanka - kandy,13.86,startup
180,urban threads,clothing,sizes were inaccurate and returns were difficult.,1,9/19/2025,appstore,1,product,negative,-0.91,experience,india - chennai,20.32,startup
181,urban threads,clothing,fabric quality is poor and shrank after washing.,2,5/27/2024,yelp,3,product,negative,-0.55,support,india - chennai,24.11,enterprise
182,greenbasket,supermarket,quick billing and helpful staff.,4,10/10/2024,yelp,1,delivery,positive,0.71,quality,india - chennai,16.52,sme
183,urban curry,restaurant,authentic flavors and generous portions.,5,2/18/2025,appstore,1,delivery,positive,0.74,service,india - bangalore,12.17,enterprise
184,modaline,clothing,fabric quality is poor and shrank after washing.,1,1/9/2024,yelp,1,support,negative,-0.59,experience,india - bangalore,5.2,sme
185,urban threads,clothing,trendy designs and affordable prices.,4,8/2/2025,yelp,1,delivery,positive,0.96,quality,india - chennai,18.37,sme
186,grand tandoori,restaurant,"clean place and tasty meals, will visit again.",5,3/23/2024,facebook,2,product,positive,0.55,quality,india - bangalore,20.46,sme
187,brightpath college,academic,great learning environment and useful course materials.,5,2/29/2024,instagram,1,product,positive,0.53,delivery,india - bangalore,28.8,enterprise
188,mealgo,food delivery,app works fine but nothing impressive.,4,9/14/2025,instagram,3,support,neutral,0.21,support,sri lanka - colombo,25.08,startup
189,brightpath college,academic,teachers explain concepts clearly and provide good support.,4,10/19/2024,google,3,support,positive,0.62,experience,sri lanka - colombo,9.38,startup
190,ocean bites,restaurant,"clean place and tasty meals, will visit again.",4,11/17/2025,yelp,2,delivery,positive,0.95,price,india - bangalore,16.38,enterprise
191,freshmart,supermarket,fresh vegetables and well organized shelves.,5,9/12/2025,yelp,1,service,positive,0.53,quality,sri lanka - colombo,19.22,sme
192,spice garden,restaurant,the food was delicious and the staff were very friendly.,5,6/11/2025,yelp,3,support,positive,0.87,experience,sri lanka - colombo,28.96,sme
193,stylehub,clothing,overpriced for low quality material.,2,3/7/2024,yelp,1,product,negative,-0.73,quality,sri lanka - kandy,9.61,enterprise
194,citygrocer,supermarket,quick billing and helpful staff.,4,8/27/2025,instagram,2,service,positive,0.81,price,sri lanka - kandy,39.03,enterprise
195,trendwear,clothing,good quality fabric and perfect fit.,5,3/26/2025,google,2,service,positive,0.9,support,india - bangalore,9.8,sme
196,modaline,clothing,sizes were inaccurate and returns were difficult.,2,8/3/2024,instagram,3,service,negative,-0.72,support,india - bangalore,12.96,enterprise
197,quickeats,food delivery,delivery was fast and food arrived hot.,4,11/9/2025,google,1,support,positive,0.72,experience,india - chennai,22.27,enterprise
198,dailyneeds,supermarket,staff not responsive when asking for help.,2,10/14/2024,facebook,3,delivery,negative,-0.56,quality,india - chennai,22.67,sme
199,skillbridge academy,academic,great learning environment and useful course materials.,4,6/29/2025,instagram,3,product,positive,0.97,service,sri lanka - kandy,31.45,startup
200,urban threads,clothing,overpriced for low quality material.,1,7/11/2025,facebook,1,product,negative,-0.98,price,india - bangalore,19.44,enterprise
201,urban threads,clothing,trendy designs and affordable prices.,4,2/20/2024,yelp,2,service,positive,0.51,quality,india - chennai,35.06,sme
